[2026-03-26 19:14:08,409][datasets][INFO] - PyTorch version 2.7.0+cu128 available.
[2026-03-26 19:14:09,819][asyncio][DEBUG] - Using selector: EpollSelector
[2026-03-26 19:14:10,753][h5py._conv][DEBUG] - Creating converter from 7 to 5
[2026-03-26 19:14:10,753][h5py._conv][DEBUG] - Creating converter from 5 to 7
[2026-03-26 19:14:10,753][h5py._conv][DEBUG] - Creating converter from 7 to 5
[2026-03-26 19:14:10,753][h5py._conv][DEBUG] - Creating converter from 5 to 7
[2026-03-26 19:14:10,794][matplotlib][DEBUG] - matplotlib data path: /home/ziwang/miniconda3/envs/hv10/lib/python3.10/site-packages/matplotlib/mpl-data
[2026-03-26 19:14:10,797][matplotlib][DEBUG] - CONFIGDIR=/home/ziwang/.config/matplotlib
[2026-03-26 19:14:10,797][matplotlib][DEBUG] - interactive is False
[2026-03-26 19:14:10,798][matplotlib][DEBUG] - platform is linux
[2026-03-26 19:14:10,919][matplotlib][DEBUG] - CACHEDIR=/home/ziwang/.cache/matplotlib
[2026-03-26 19:14:10,921][matplotlib.font_manager][DEBUG] - Using fontManager instance from /home/ziwang/.cache/matplotlib/fontlist-v390.json
[2026-03-26 19:14:12,600][asyncio][DEBUG] - Using selector: EpollSelector
[2026-03-26 19:14:12,616][git.cmd][DEBUG] - Popen(['git', 'version'], cwd=/home/ziwang/projects/gr00t-wsg-teleop, stdin=None, shell=False, universal_newlines=False)
[2026-03-26 19:14:12,620][git.cmd][DEBUG] - Popen(['git', 'version'], cwd=/home/ziwang/projects/gr00t-wsg-teleop, stdin=None, shell=False, universal_newlines=False)
[2026-03-26 19:14:12,624][git.cmd][DEBUG] - Popen(['git', 'rev-parse', '--show-toplevel'], cwd=/home/ziwang/projects/gr00t-wsg-teleop, stdin=None, shell=False, universal_newlines=False)
[2026-03-26 19:14:12,634][urllib3.connectionpool][DEBUG] - Starting new HTTPS connection (1): api.wandb.ai:443
[2026-03-26 19:14:12,750][urllib3.connectionpool][DEBUG] - https://api.wandb.ai:443 "POST /graphql HTTP/1.1" 200 None
[2026-03-26 19:14:12,891][urllib3.connectionpool][DEBUG] - https://api.wandb.ai:443 "POST /graphql HTTP/1.1" 200 None
[2026-03-26 19:14:12,932][sentry_sdk.errors][DEBUG] - [Tracing] Create new propagation context: {'trace_id': 'dcf8cd7c1ad04810baa000e287629099', 'span_id': 'be7fd3c75d1d9c2e', 'parent_span_id': None, 'dynamic_sampling_context': None}
[2026-03-26 19:14:13,145][git.cmd][DEBUG] - Popen(['git', 'cat-file', '--batch-check'], cwd=/home/ziwang/projects/gr00t-wsg-teleop, stdin=<valid stream>, shell=False, universal_newlines=False)
[2026-03-26 19:14:15,569][AutoNode][DEBUG] - Defining data type 'any' as 'Any'
[2026-03-26 19:14:15,569][AutoNode][DEBUG] - Defining data type 'bool' as 'Bool' and array 'BoolArray
[2026-03-26 19:14:15,569][AutoNode][DEBUG] - Defining data type 'bundle' as 'Bundle'
[2026-03-26 19:14:15,569][AutoNode][DEBUG] - Defining data type 'colord[3]' as 'Color3d' and array 'Color3dArray
[2026-03-26 19:14:15,570][AutoNode][DEBUG] - Defining data type 'colorf[3]' as 'Color3f' and array 'Color3fArray
[2026-03-26 19:14:15,570][AutoNode][DEBUG] - Defining data type 'colorh[3]' as 'Color3h' and array 'Color3hArray
[2026-03-26 19:14:15,570][AutoNode][DEBUG] - Defining data type 'colord[4]' as 'Color4d' and array 'Color4dArray
[2026-03-26 19:14:15,570][AutoNode][DEBUG] - Defining data type 'colorf[4]' as 'Color4f' and array 'Color4fArray
[2026-03-26 19:14:15,570][AutoNode][DEBUG] - Defining data type 'colorh[4]' as 'Color4h' and array 'Color4hArray
[2026-03-26 19:14:15,570][AutoNode][DEBUG] - Defining data type 'double' as 'Double' and array 'DoubleArray
[2026-03-26 19:14:15,570][AutoNode][DEBUG] - Defining data type 'double[2]' as 'Double2' and array 'Double2Array
[2026-03-26 19:14:15,570][AutoNode][DEBUG] - Defining data type 'double[3]' as 'Double3' and array 'Double3Array
[2026-03-26 19:14:15,570][AutoNode][DEBUG] - Defining data type 'double[4]' as 'Double4' and array 'Double4Array
[2026-03-26 19:14:15,570][AutoNode][DEBUG] - Defining data type 'execution' as 'Execution'
[2026-03-26 19:14:15,570][AutoNode][DEBUG] - Defining data type 'float' as 'Float' and array 'FloatArray
[2026-03-26 19:14:15,571][AutoNode][DEBUG] - Defining data type 'float[2]' as 'Float2' and array 'Float2Array
[2026-03-26 19:14:15,571][AutoNode][DEBUG] - Defining data type 'float[3]' as 'Float3' and array 'Float3Array
[2026-03-26 19:14:15,571][AutoNode][DEBUG] - Defining data type 'float[4]' as 'Float4' and array 'Float4Array
