workpoint,pose,direction,kind,parameter,force_N,status,grip_only_force_N
low90,roll+8,closing_normal_tangent,pinch_mu_PD_q014,0.4,14.56,OPTIMAL,14.56
low90,roll+8,closing_normal_tangent,pinch_mu_PD_q014,0.8,29.12,OPTIMAL,29.12
low90,roll+8,handle_axis,ground_mu,0.3,63.12923690632413,OPTIMAL,
low90,roll+8,handle_axis,ground_mu,1.0,101.37113303753598,OPTIMAL,
low90,roll+8,handle_axis,arm_sim_cap_scale,0.1,26.692742050487386,OPTIMAL,
low90,roll+8,handle_axis,arm_sim_cap_scale,0.2,55.13858916368609,OPTIMAL,
low90,roll+8,handle_axis,pinch_mu_two45N,0.2,18.0,OPTIMAL,18.0
low90,roll+8,handle_axis,pinch_mu_two45N,0.4,36.0,OPTIMAL,36.0
low90,roll+8,handle_axis,pinch_mu_two45N,0.8,72.0,OPTIMAL,72.0
low90,roll+8,handle_axis,pinch_mu_PD_q014,0.2,7.28,OPTIMAL,7.28
low90,roll+8,handle_axis,pinch_mu_PD_q014,0.4,14.56,OPTIMAL,14.56
low90,roll+8,handle_axis,pinch_mu_PD_q014,0.8,29.12,OPTIMAL,29.12
low90,roll-8,press_down,ground_mu,0.3,164.28110769683443,OPTIMAL,
low90,roll-8,press_down,ground_mu,1.0,164.28110769683443,OPTIMAL,
low90,roll-8,press_down,arm_sim_cap_scale,0.1,39.388867446363,OPTIMAL,
low90,roll-8,press_down,arm_sim_cap_scale,0.2,67.28215778675451,OPTIMAL,
low90,roll-8,press_down,pinch_mu_two45N,0.2,90.0,OPTIMAL,90.0
low90,roll-8,press_down,pinch_mu_two45N,0.4,90.0,OPTIMAL,90.0
low90,roll-8,press_down,pinch_mu_two45N,0.8,90.0,OPTIMAL,90.0
low90,roll-8,press_down,pinch_mu_PD_q014,0.2,36.4,OPTIMAL,36.4
low90,roll-8,press_down,pinch_mu_PD_q014,0.4,36.4,OPTIMAL,36.4
low90,roll-8,press_down,pinch_mu_PD_q014,0.8,36.4,OPTIMAL,36.4
low90,roll-8,opening_normal_tangent,ground_mu,0.3,108.5768459348266,OPTIMAL,
low90,roll-8,opening_normal_tangent,ground_mu,1.0,138.62404936587106,OPTIMAL,
low90,roll-8,opening_normal_tangent,arm_sim_cap_scale,0.1,40.32360885273434,OPTIMAL,
low90,roll-8,opening_normal_tangent,arm_sim_cap_scale,0.2,108.05977294403218,OPTIMAL,
low90,roll-8,opening_normal_tangent,pinch_mu_two45N,0.2,18.0,OPTIMAL,18.0
low90,roll-8,opening_normal_tangent,pinch_mu_two45N,0.4,36.0,OPTIMAL,36.0
low90,roll-8,opening_normal_tangent,pinch_mu_two45N,0.8,72.0,OPTIMAL,72.0
