workpoint,pose,direction,arm_PD_status,arm_PD_force_N,arm_PD_limiter,whole_PD_status,whole_PD_force_N,whole_PD_limiter,target_at20N_within_limits,target_limit_excess_at20N_rad
mid105,pitch+8,opening_normal_tangent,OPTIMAL,484.54538244477123,arm_j2,OPTIMAL,121.15450942736759,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
mid105,pitch+8,closing_normal_tangent,OPTIMAL,446.40366090411516,arm_j2,OPTIMAL,100.12338322315539,RL_foot:normal_lower;RR_foot:normal_lower,True,0.0
mid105,pitch+8,handle_axis,OPTIMAL,306.8969186034522,arm_j1,OPTIMAL,87.87183920086557,FL_foot:normal_lower;RL_foot:normal_lower,True,0.0
mid105,pitch-8,press_down,OPTIMAL,210.80311765221666,arm_j3,OPTIMAL,153.89649837582166,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
mid105,pitch-8,opening_normal_tangent,OPTIMAL,449.8147389520446,arm_j2,OPTIMAL,118.63807775745254,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
mid105,pitch-8,closing_normal_tangent,OPTIMAL,398.1220840918599,arm_j2,OPTIMAL,102.63981489312421,RL_foot:normal_lower;RR_foot:normal_lower,True,0.0
mid105,pitch-8,handle_axis,OPTIMAL,211.5639084479435,arm_j1,OPTIMAL,88.5486270350358,"FL_foot:friction(1,1);FL_foot:friction(-1,-1);RL_foot:normal_lower",True,0.0
far90,neutral,press_down,OPTIMAL,193.1746845837273,arm_j2,OPTIMAL,135.3024889928111,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
far90,neutral,opening_normal_tangent,OPTIMAL,833.3333333333336,arm_j1,OPTIMAL,144.2384667102919,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
far90,neutral,closing_normal_tangent,OPTIMAL,828.8196398506025,arm_j2,OPTIMAL,113.91907471533837,RL_foot:normal_lower;RR_foot:normal_lower,True,0.0
far90,neutral,handle_axis,OPTIMAL,180.18018018018023,arm_j1,OPTIMAL,89.24689251743655,"FL_foot:friction(1,1);FL_foot:friction(1,-1);FL_foot:friction(-1,1);RL_foot:friction(-1,1);RL_foot:friction(-1,-1);FR_foot:friction(1,1);FR_foot:friction(-1,1)",True,0.0
far90,roll+8,press_down,OPTIMAL,193.4072273659162,arm_j2,OPTIMAL,135.45426189701743,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
far90,roll+8,opening_normal_tangent,OPTIMAL,587.1058702196112,arm_j1,OPTIMAL,144.40026337163832,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
far90,roll+8,closing_normal_tangent,OPTIMAL,572.5854693199909,arm_j1,OPTIMAL,113.75727805399215,RL_foot:normal_lower;RR_foot:normal_lower,True,0.0
far90,roll+8,handle_axis,OPTIMAL,179.67272137867107,arm_j1,OPTIMAL,88.67718350989917,"FL_foot:friction(1,1);FL_foot:friction(-1,1);RL_foot:friction(-1,1);RL_foot:friction(-1,-1);FR_foot:friction(1,1);FR_foot:friction(-1,1);FL_foot:normal_lower",True,0.0
far90,roll-8,press_down,OPTIMAL,196.00137721046568,arm_j2,OPTIMAL,135.22503439870562,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
far90,roll-8,opening_normal_tangent,OPTIMAL,864.2876681852055,arm_j2,OPTIMAL,144.15589667017335,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
far90,roll-8,closing_normal_tangent,OPTIMAL,723.0225061560183,arm_j2,OPTIMAL,114.00164475457629,RL_foot:normal_lower;RR_foot:normal_lower,True,0.0
far90,roll-8,handle_axis,OPTIMAL,184.17341691122868,arm_j1,OPTIMAL,89.86961506621712,"FL_foot:friction(1,1);FL_foot:friction(-1,1);RL_foot:friction(-1,1);RL_foot:friction(-1,-1);FR_foot:friction(1,1);FR_foot:friction(-1,1);FL_foot:normal_lower",True,0.0
far90,pitch+8,press_down,OPTIMAL,205.20832772581076,arm_j2,OPTIMAL,136.67939575927736,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
far90,pitch+8,opening_normal_tangent,OPTIMAL,844.2416453218608,arm_j1,OPTIMAL,145.70631051920424,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
far90,pitch+8,closing_normal_tangent,OPTIMAL,745.3328958709428,arm_j2,OPTIMAL,112.45123090640402,RL_foot:normal_lower;RR_foot:normal_lower,True,0.0
far90,pitch+8,handle_axis,OPTIMAL,201.54664295996582,arm_j1,OPTIMAL,89.70647850279629,"FL_foot:friction(1,1);FL_foot:friction(-1,1);RL_foot:friction(-1,1);RL_foot:friction(-1,-1);FR_foot:friction(1,1);FR_foot:friction(-1,1);FL_foot:normal_lower",True,0.0
far90,pitch-8,press_down,OPTIMAL,180.19472338055158,arm_j2,OPTIMAL,134.178985394013,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
far90,pitch-8,opening_normal_tangent,OPTIMAL,837.5081665489693,arm_j3,OPTIMAL,143.04076194047985,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
far90,pitch-8,closing_normal_tangent,OPTIMAL,844.5763938120439,arm_j1,OPTIMAL,115.11677948519835,RL_foot:normal_lower;RR_foot:normal_lower,True,0.0
far90,pitch-8,handle_axis,OPTIMAL,166.76689195443043,arm_j1,OPTIMAL,88.8608945746185,"FL_foot:friction(1,1);FL_foot:friction(-1,1);RL_foot:friction(-1,1);RL_foot:friction(-1,-1);FR_foot:friction(1,1);FR_foot:friction(-1,1);FL_foot:normal_lower",True,0.0
high120,neutral,press_down,OPTIMAL,233.33933938286503,arm_j2,OPTIMAL,147.90307615996826,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
high120,neutral,opening_normal_tangent,OPTIMAL,255.892749915717,arm_j2,OPTIMAL,105.92818314576928,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
high120,neutral,closing_normal_tangent,OPTIMAL,226.15339769906763,arm_j2,OPTIMAL,87.68997292345344,RL_foot:normal_lower;RR_foot:normal_lower,True,0.0
high120,neutral,handle_axis,OPTIMAL,219.78021978021974,arm_j1,OPTIMAL,75.60596471919669,FL_foot:normal_lower;RL_foot:normal_lower,True,0.0
