workpoint,pose,roll_deg,pitch_deg,direction,dx,dy,dz,arm_status,arm_force_N,arm_no_gravity_force_N,arm_limiter,whole_status,whole_force_N,whole_limiter,unloaded_feet,arm_peak_abs_tau_at20N_Nm,arm_peak_PD_error_at20N_rad,arm_min_cap_margin_at20N_Nm,arm_analytic_vs_LP_abs_N
low90,pitch-8,0.0,-8.0,closing_normal_tangent,-1.0,-0.0,-0.0,OPTIMAL,677.7798320941968,652.7341540172125,arm_j3,OPTIMAL,120.407860542437,RL_foot:normal_lower;RR_foot:normal_lower,RL_foot;RR_foot,7.5022623071942505,0.05861142427495508,92.49773769280574,0.0
low90,pitch-8,0.0,-8.0,handle_axis,0.0,1.0,0.0,OPTIMAL,248.51310960653404,247.67093445935487,arm_j1,OPTIMAL,100.26324759873904,"FL_foot:friction(1,1);FL_foot:friction(-1,1);FL_foot:friction(-1,-1);RL_foot:friction(-1,1);RL_foot:friction(-1,-1);FR_foot:friction(1,1);FR_foot:friction(-1,1)",FL_foot,7.735193027248335,0.12086239105075523,92.26480697275167,0.0
mid105,neutral,0.0,0.0,press_down,0.0,0.0,-1.0,OPTIMAL,253.6005199966889,241.28198290242608,arm_j2,OPTIMAL,155.26621252202938,FL_foot:normal_lower;FR_foot:normal_lower,FL_foot;FR_foot,3.183604019386541,0.048594612222266645,96.81639598061346,0.0
mid105,neutral,0.0,0.0,opening_normal_tangent,1.0,0.0,0.0,OPTIMAL,447.8845533509751,426.1287522016977,arm_j2,OPTIMAL,119.69398387031568,FL_foot:normal_lower;FR_foot:normal_lower,FL_foot;FR_foot,5.382264264794994,0.08409787913742178,94.617735735205,0.0
mid105,neutral,0.0,0.0,closing_normal_tangent,-1.0,-0.0,-0.0,OPTIMAL,404.37295105242026,426.1287522016977,arm_j2,OPTIMAL,101.58390878022519,RL_foot:normal_lower;RR_foot:normal_lower,RL_foot;RR_foot,9.798869692208271,0.07655366947037712,90.20113030779173,0.0
mid105,neutral,0.0,0.0,handle_axis,0.0,1.0,0.0,OPTIMAL,246.91358024691513,246.91358024691513,arm_j1,OPTIMAL,88.27655522700886,FL_foot:normal_lower;RL_foot:normal_lower,FL_foot;RL_foot,8.09999999999995,0.12656249999999922,91.90000000000005,0.0
mid105,roll+8,8.0,0.0,press_down,0.0,0.0,-1.0,OPTIMAL,258.29385639217526,244.99618186763382,arm_j2,OPTIMAL,155.72027975799162,FL_foot:normal_lower;FR_foot:normal_lower,FL_foot;FR_foot,2.782815647034326,0.04348149448491134,97.21718435296567,0.0
mid105,roll+8,8.0,0.0,opening_normal_tangent,1.0,0.0,0.0,OPTIMAL,520.8939362758413,517.2351882050507,arm_j1,OPTIMAL,120.04402214029423,FL_foot:normal_lower;FR_foot:normal_lower,FL_foot;FR_foot,5.452231488180816,0.08519111700282525,94.54776851181919,0.0
mid105,roll+8,8.0,0.0,closing_normal_tangent,-1.0,-0.0,-0.0,OPTIMAL,509.2724468013262,517.2351882050507,arm_j2,OPTIMAL,101.23387051024707,RL_foot:normal_lower;RR_foot:normal_lower,RL_foot;RR_foot,9.141722541798678,0.07146999025510127,90.85827745820131,0.0
mid105,roll+8,8.0,0.0,handle_axis,0.0,1.0,0.0,OPTIMAL,247.576392913205,249.34014136262314,arm_j1,OPTIMAL,86.69788295856377,FL_foot:normal_lower;RL_foot:normal_lower,FL_foot;RL_foot,8.728537783960935,0.1363834028743896,91.27146221603907,0.0
