experiment,base_dx_m,foot_residual_m,tcp_residual_m,orientation_residual_rad,status,arm_force_N,whole_force_N,peak_tau_at20N_Nm,limiter
BASE_TRANSLATION_NOT_POSTURE_GAIN,-0.05,1.6653345369377348e-16,4.449557262054371e-16,1.3236325546827868e-16,RESOLVED,436.9829101646131,100.76333385345136,5.345892056627251,FL_foot:normal_lower;FR_foot:normal_lower
BASE_TRANSLATION_NOT_POSTURE_GAIN,0.0,0.0,4.934426949698985e-15,1.11680976075552e-14,RESOLVED,447.8845533509751,119.69398387031568,5.382264264794994,FL_foot:normal_lower;FR_foot:normal_lower
BASE_TRANSLATION_NOT_POSTURE_GAIN,0.05,1.2150537664953055e-12,3.9086863073299454e-13,5.62233343332671e-13,RESOLVED,472.07565289701637,138.86523224985027,5.2716255391457985,FL_foot:normal_lower;FR_foot:normal_lower
