handle_height_m,standoff_m,root_height_m,tcp_error_m,self_collision,self_collision_evidence,min_joint_limit_margin_rad,arm_j6_margin_rad,feasible,failure_reason
1.05,0.4,0.55,0.2327442169189453,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.20588195323944092,0.20588195323944092,False,tcp_error_not_below_tolerance
1.05,0.4,0.65,0.15882699191570282,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.2063482105731964,0.23185205459594727,False,tcp_error_not_below_tolerance
1.05,0.4,0.75,0.12518228590488434,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.30147624015808105,0.6020122766494751,False,tcp_error_not_below_tolerance
1.05,0.45,0.55,0.23088276386260986,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.3722386360168457,0.39633071422576904,False,tcp_error_not_below_tolerance
1.05,0.45,0.65,0.15116916596889496,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.3475608825683594,0.434712290763855,False,tcp_error_not_below_tolerance
1.05,0.45,0.75,0.13516740500926971,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.392697811126709,0.392697811126709,False,tcp_error_not_below_tolerance
1.05,0.5,0.55,0.2102755606174469,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.3814733028411865,0.3814733028411865,False,tcp_error_not_below_tolerance
1.05,0.5,0.65,0.11935310065746307,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.36775702238082886,0.40192997455596924,False,tcp_error_not_below_tolerance
1.05,0.5,0.75,0.040476299822330475,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.2622179388999939,0.340773344039917,False,tcp_error_not_below_tolerance
1.05,0.55,0.55,0.19911518692970276,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.3747282028198242,0.3747282028198242,False,tcp_error_not_below_tolerance
1.05,0.55,0.65,0.10037272423505783,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.37641286849975586,0.37641286849975586,False,tcp_error_not_below_tolerance
1.05,0.55,0.75,0.010095511563122272,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.3320852518081665,0.47757697105407715,True,
1.05,0.6,0.55,0.19871804118156433,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.379949688911438,0.379949688911438,False,tcp_error_not_below_tolerance
1.05,0.6,0.65,0.09967376291751862,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.38509559631347656,0.38509559631347656,False,tcp_error_not_below_tolerance
1.05,0.6,0.75,0.006998748052865267,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.46317631006240845,0.4985024929046631,True,
1.05,0.65,0.55,0.20911861956119537,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.39600062370300293,0.39600062370300293,False,tcp_error_not_below_tolerance
1.05,0.65,0.65,0.11741138249635696,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.4232290983200073,0.4232290983200073,False,tcp_error_not_below_tolerance
1.05,0.65,0.75,0.05242694169282913,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.46397608518600464,0.5595985651016235,False,tcp_error_not_below_tolerance
1.05,0.7,0.55,0.22905972599983215,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.41765058040618896,0.41765058040618896,False,tcp_error_not_below_tolerance
1.05,0.7,0.65,0.14835605025291443,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.460896372795105,0.46153199672698975,False,tcp_error_not_below_tolerance
1.05,0.7,0.75,0.10164870321750641,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.4622819423675537,0.5709419250488281,False,tcp_error_not_below_tolerance
1.05,0.75,0.55,0.25659236311912537,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.43970417976379395,0.43970417976379395,False,tcp_error_not_below_tolerance
1.05,0.75,0.65,0.1868966817855835,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.46466827392578125,0.48942697048187256,False,tcp_error_not_below_tolerance
1.05,0.75,0.75,0.15133151412010193,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.4614047408103943,0.5755170583724976,False,tcp_error_not_below_tolerance
1.05,0.8,0.55,0.2897765636444092,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.4593604803085327,0.4593604803085327,False,tcp_error_not_below_tolerance
1.05,0.8,0.65,0.22958798706531525,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.46587496995925903,0.5085539817810059,False,tcp_error_not_below_tolerance
1.05,0.8,0.75,0.20116354525089264,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.46088290214538574,0.5779719352722168,False,tcp_error_not_below_tolerance
1.05,0.85,0.55,0.32701438665390015,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.4632527828216553,0.4758565425872803,False,tcp_error_not_below_tolerance
1.05,0.85,0.65,0.27461108565330505,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.4660727381706238,0.5219298601150513,False,tcp_error_not_below_tolerance
1.05,0.85,0.75,0.25106823444366455,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.4605407118797302,0.5794929265975952,False,tcp_error_not_below_tolerance
